;name;Tips
65;Hyperextension;Use bar or handgrips to ease the pressure on your hands.
66;Aligner;Keep abs tight and maintain good posture as the bands draw your shoulders back and open your chest.
66;Aligner;Wear a thick shirt or protective layer to prevent irritation.
68;Crunch;You don't need to lift your entire back off the ground to feel the burn, just get your shoulder blades about an inch or two (2-5 cm) off the ground.
68;Crunch;Give an extra squeeze at the top for a total contraction before slowly lowering back to starting position.
68;Crunch;Perform the descent portion of the rep just as slowly and deliberate as the ascent.
68;Crunch;Avoid pulling your head forward with your hands or using your back to propel yourself forward.
69;Squeeze;Keep your back straight as you lower your head toward the floor.
69;Squeeze;Avoid pulling the band down with your arms.
69;Squeeze;Squeeze your abs at the bottom before ascending back to starting position.
